file,path,line,come,vultype,vultype,version,fix_time,token_usage,detect
BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,contracts/BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,732,,SWC-105-Unprotected Ether Withdrawal,SWC-105-Unprotected Ether Withdrawal,>=0.6.0 <0.8.0,0,177,yes
MonstaPresale.sol,contracts/MonstaPresale.sol,97,,SWC-105-Unprotected Ether Withdrawal,SWC-105-Unprotected Ether Withdrawal,0.6.0,0,103,yes
wildfire.sol,contracts/wildfire.sol,1114,,SWC-113-DoS with Failed Call,SWC-113-DoS with Failed Call|SWC-113-DoS with Failed Call,^0.6.12,0,0,no
WorthTokenSale.sol,contracts/WorthTokenSale.sol,311,,SWC-105-Unprotected Ether Withdrawal,SWC-105-Unprotected Ether Withdrawal,0.8.10,0,89,yes
VaultManager_1.sol,contracts/VaultManager_1.sol,925,,SWC-104-Unchecked Call Return Value,SWC-104-Unchecked Call Return Value,0.8.12,0,0,no
Comptroller.sol,contracts/Comptroller.sol,1358,,SWC-107-Reentrancy,SWC-107-Reentrancy,^0.8.6,0,0,no
CToken.sol,contracts/CToken.sol,1201,,SWC-107-Reentrancy,SWC-107-Reentrancy,^0.8.6,0,0,no
MultiplyProxyActions.sol,contracts/MultiplyProxyActions.sol,816,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow|SWC-104-Unchecked Call Return Value,>=0.7.6,0,161,yes
ReferralFeeReceiver.sol,contracts/ReferralFeeReceiver.sol,211,,SWC-107-Reentrancy,SWC-107-Reentrancy,^0.6.0,0,110,yes
yield.sol,contracts/yield.sol,676,,SWC-128-DoS With Block Gas Limit,SWC-103-Floating Pragma|SWC-108-State Variable Default Visibility|SWC-128-DoS With Block Gas Limit,^0.5.12,0,277,yes
FountainBase.sol,contracts/FountainBase.sol,351,,SWC-107-Reentrancy,SWC-107-Reentrancy|SWC-107-Reentrancy,0.6.12,0,244,yes
YieldFarm.sol,contracts/YieldFarm.sol,173,,SWC-128-DoS With Block Gas Limit,SWC-103-Floating Pragma|SWC-128-DoS With Block Gas Limit,^0.6.0,0,260,yes
CommunityVault.sol,contracts/CommunityVault.sol,23,,SWC-107-Reentrancy,SWC-103-Floating Pragma|SWC-107-Reentrancy,^0.6.0,0,179,no
YieldFarm_1.sol,contracts/YieldFarm_1.sol,173,,SWC-128-DoS With Block Gas Limit,SWC-103-Floating Pragma|SWC-128-DoS With Block Gas Limit,^0.6.0,0,262,no
YieldFarm_2.sol,contracts/YieldFarm_2.sol,173,,SWC-128-DoS With Block Gas Limit,SWC-103-Floating Pragma|SWC-128-DoS With Block Gas Limit,^0.6.0,0,182,no
YieldFarmLP.sol,contracts/YieldFarmLP.sol,160,,SWC-128-DoS With Block Gas Limit,SWC-103-Floating Pragma|SWC-128-DoS With Block Gas Limit,^0.6.0,0,226,no
wHakka.sol,contracts/wHakka.sol,601,,SWC-107-Reentrancy,SWC-116-Block values as a proxy for time|SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-116-Block values as a proxy for time,0.5.17,0,246,yes
MasterChef.sol,contracts/MasterChef.sol,390,,SWC-107-Reentrancy,SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-104-Unchecked Call Return Value|SWC-107-Reentrancy|SWC-104-Unchecked Call Return Value,0.6.7,0,568,no
strategy-base.sol,contracts/strategy-base.sol,363,,SWC-104-Unchecked Call Return Value,SWC-104-Unchecked Call Return Value|SWC-104-Unchecked Call Return Value|SWC-104-Unchecked Call Return Value|SWC-104-Unchecked Call Return Value,^0.6.7,0,296,yes
strategy-basis-farm-base.sol,contracts/strategy-basis-farm-base.sol,153,,SWC-104-Unchecked Call Return Value,SWC-104-Unchecked Call Return Value,^0.6.7,0,137,no
SpaceMonkey.sol,contracts/SpaceMonkey.sol,686,,SWC-107-Reentrancy,SWC-107-Reentrancy|SWC-119-Shadowing State Variables|SWC-119-Shadowing State Variables,^0.8.4,0,284,yes
AllocationStaking.sol,contracts/AllocationStaking.sol,577,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow|SWC-101-Integer Overflow and Underflow|SWC-101-Integer Overflow and Underflow,0.6.12,0,320,yes
Admin.sol,contracts/Admin.sol,79,,SWC-113-DoS with Failed Call,SWC-113-DoS with Failed Call,0.6.12,0,129,yes
AvalaunchSale.sol,contracts/AvalaunchSale.sol,588,,SWC-113-DoS with Failed Call,SWC-113-DoS with Failed Call|SWC-113-DoS with Failed Call,0.6.12,0,173,yes
Ark.sol,contracts/Ark.sol,87,,SWC-113-DoS with Failed Call,SWC-102-Outdated Compiler Version|SWC-113-DoS with Failed Call,0.6.9,0,231,no
Vesting.sol,contracts/Vesting.sol,213,,SWC-101-Integer Overflow and Underflow,SWC-113-DoS with Failed Call|SWC-101-Integer Overflow and Underflow,0.8.10,0,334,no
Gate.sol,contracts/Gate.sol,250,,SWC-113-DoS with Failed Call,SWC-113-DoS with Failed Call,0.5.11,0,128,yes
woonklyPOS.sol,contracts/woonklyPOS.sol,1017,,SWC-107-Reentrancy,SWC-107-Reentrancy|SWC-113-DoS with Failed Call,^0.6.6,0,253,no
vault.sol,contracts/vault.sol,699,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow|SWC-114-Transaction Order Dependence|SWC-105-Unprotected Ether Withdrawal,0.6.6,0,328,yes
BorrowerOperations.sol,contracts/BorrowerOperations.sol,666,,SWC-105-Unprotected Ether Withdrawal,SWC-105-Unprotected Ether Withdrawal,0.6.11,0,112,yes
TempusController.sol,contracts/TempusController.sol,520,,SWC-107-Reentrancy,SWC-107-Reentrancy|SWC-107-Reentrancy,0.8.6,0,274,yes
MetaTransactionsFeature.sol,contracts/MetaTransactionsFeature.sol,552,,SWC-107-Reentrancy,SWC-107-Reentrancy,^0.6.5,0,134,yes
UniswapFeature.sol,contracts/UniswapFeature.sol,472,,SWC-107-Reentrancy,SWC-107-Reentrancy,^0.6.5,0,143,yes
LibFixedMath.sol,contracts/LibFixedMath.sol,378,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,^0.5.9,0,95,yes
Mooniswap.sol,contracts/Mooniswap.sol,341,,SWC-105-Unprotected Ether Withdrawal,SWC-105-Unprotected Ether Withdrawal,^0.6.0,0,146,no
ReferralFeeReceiver_1.sol,contracts/ReferralFeeReceiver_1.sol,211,,SWC-105-Unprotected Ether Withdrawal,SWC-105-Unprotected Ether Withdrawal,^0.6.0,0,105,no
LendingPool.sol,contracts/LendingPool.sol,1033,,SWC-107-Reentrancy,SWC-107-Reentrancy|SWC-104-Unchecked Call Return Value,^0.6.8,0,0,no
JoinSplit.sol,contracts/JoinSplit.sol,397,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,>=0.5.0 <0.6.0,0,109,yes
BNum.sol,contracts/BNum.sol,164,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,0.5.12,0,141,yes
StandardBounties.sol,contracts/StandardBounties.sol,725,,SWC-101-Integer Overflow and Underflow,SWC-108-State Variable Default Visibility|SWC-103-Floating Pragma|SWC-108-State Variable Default Visibility|SWC-108-State Variable Default Visibility|SWC-101-Integer Overflow and Underflow,0.5.0,0,333,no
Accounts.sol,contracts/Accounts.sol,515,,SWC-128-DoS With Block Gas Limit,SWC-128-DoS With Block Gas Limit,0.5.14,0,130,yes
CompHelper.sol,contracts/CompHelper.sol,39,,SWC-104-Unchecked Call Return Value,SWC-104-Unchecked Call Return Value,^0.7.0,0,203,yes
FLAaveV2.sol,contracts/FLAaveV2.sol,154,,SWC-107-Reentrancy,SWC-107-Reentrancy,^0.7.0,0,127,yes
ZeroxWrapper.sol,contracts/ZeroxWrapper.sol,60,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,^0.7.0,0,91,yes
KyberWrapperV3.sol,contracts/KyberWrapperV3.sol,144,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,^0.7.0,0,100,yes
ETHRegistrarController.sol,contracts/ETHRegistrarController.sol,103,,SWC-104-Unchecked Call Return Value,SWC-114-Transaction Order Dependence|SWC-104-Unchecked Call Return Value,^0.5.0,0,239,yes
SimplePriceOracle.sol,contracts/SimplePriceOracle.sol,30,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,^0.5.0,0,197,yes
StablePriceOracle.sol,contracts/StablePriceOracle.sol,73,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,^0.5.0,0,170,yes
xTRIBE.sol,contracts/xTRIBE.sol,141,,SWC-105-Unprotected Ether Withdrawal,SWC-105-Unprotected Ether Withdrawal,^0.8.0,0,103,no
CollateralizationOracle.sol,contracts/CollateralizationOracle.sol,341,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow|SWC-101-Integer Overflow and Underflow,^0.8.4,0,188,yes
BalancerLBPSwapper.sol,contracts/BalancerLBPSwapper.sol,365,,SWC-105-Unprotected Ether Withdrawal,SWC-114-Transaction Order Dependence|SWC-105-Unprotected Ether Withdrawal,^0.8.0,0,216,yes
Hypervisor.sol,contracts/Hypervisor.sol,587,,SWC-107-Reentrancy,SWC-105-Unprotected Ether Withdrawal|SWC-107-Reentrancy|SWC-135-Code With No Effects,0.7.6,0,273,yes
IdleCDO.sol,contracts/IdleCDO.sol,757,,SWC-107-Reentrancy,SWC-107-Reentrancy,0.8.4,0,0,no
AMM.sol,contracts/AMM.sol,782,,SWC-104-Unchecked Call Return Value,SWC-131-Presence of unused variables|SWC-104-Unchecked Call Return Value,^0.5.2,0,0,yes
ChainlinkAdapter.sol,contracts/ChainlinkAdapter.sol,21,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,^0.5.2,0,413,no
Perpetual.sol,contracts/Perpetual.sol,317,,SWC-105-Unprotected Ether Withdrawal,SWC-135-Code With No Effects|SWC-119-Shadowing State Variables|SWC-105-Unprotected Ether Withdrawal,^0.5.2,0,198,yes
Pod.sol,contracts/Pod.sol,669,,SWC-107-Reentrancy,SWC-107-Reentrancy|SWC-104-Unchecked Call Return Value,>=0.7.0 <0.8.0,0,232,yes
TokenDrop.sol,contracts/TokenDrop.sol,236,,SWC-107-Reentrancy,SWC-105-Unprotected Ether Withdrawal|SWC-107-Reentrancy,>=0.7.0 <0.8.0,0,153,no
LiquidStakingV2.sol,contracts/LiquidStakingV2.sol,499,,SWC-128-DoS With Block Gas Limit,SWC-128-DoS With Block Gas Limit,>=0.7.0,0,155,yes
STokensV2.sol,contracts/STokensV2.sol,621,,SWC-128-DoS With Block Gas Limit,SWC-128-DoS With Block Gas Limit,>=0.7.0,0,153,yes
ReversibleICO.sol,contracts/ReversibleICO.sol,1170,,SWC-113-DoS with Failed Call,SWC-113-DoS with Failed Call|SWC-119-Shadowing State Variables,^0.5.0,0,0,no
RocketDepositPool.sol,contracts/RocketDepositPool.sol,147,,SWC-128-DoS With Block Gas Limit,SWC-128-DoS With Block Gas Limit,0.7.6,0,291,yes
RocketNodeStaking.sol,contracts/RocketNodeStaking.sol,203,,SWC-104-Unchecked Call Return Value,SWC-104-Unchecked Call Return Value|SWC-114-Transaction Order Dependence,0.7.6,0,198,yes
DelegationRequestManager.sol,contracts/DelegationRequestManager.sol,128,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,^0.5.3,0,221,yes
DelegationService.sol,contracts/DelegationService.sol,318,,SWC-128-DoS With Block Gas Limit,SWC-135-Code With No Effects|SWC-128-DoS With Block Gas Limit,^0.5.3,0,234,yes
SkaleBalances.sol,contracts/SkaleBalances.sol,91,,SWC-107-Reentrancy,SWC-107-Reentrancy,^0.5.3,0,101,yes
TokenState.sol,contracts/TokenState.sol,281,,SWC-128-DoS With Block Gas Limit,SWC-128-DoS With Block Gas Limit|SWC-105-Unprotected Ether Withdrawal,^0.5.3,0,230,yes
LockableERC777.sol,contracts/LockableERC777.sol,517,,SWC-107-Reentrancy,SWC-107-Reentrancy,^0.5.3,0,113,yes
EternalHeroesFactory.sol,contracts/EternalHeroesFactory.sol,420,,SWC-107-Reentrancy,SWC-107-Reentrancy,^0.5.16,0,218,no
KeepRandomBeaconOperator.sol,contracts/KeepRandomBeaconOperator.sol,757,,SWC-120-Weak Sources of Randomness from Chain Attributes,SWC-120-Weak Sources of Randomness from Chain Attributes,^0.5.4,0,130,yes
Moloch.sol,contracts/Moloch.sol,682,,SWC-101-Integer Overflow and Underflow,SWC-114-Transaction Order Dependence|SWC-105-Unprotected Ether Withdrawal|SWC-101-Integer Overflow and Underflow,0.5.3,0,265,yes
StakingController.sol,contracts/StakingController.sol,185,,SWC-105-Unprotected Ether Withdrawal,SWC-105-Unprotected Ether Withdrawal|SWC-122-Lack of Proper Signature Verification|SWC-117-Signature Malleability,^0.7.3,0,287,yes
AOC_BEP.sol,contracts/AOC_BEP.sol,492,,SWC-105-Unprotected Ether Withdrawal,SWC-118-Incorrect Constructor Name|SWC-135-Code With No Effects|SWC-105-Unprotected Ether Withdrawal,0.8.9,0,256,no
AniaLottery.sol,contracts/AniaLottery.sol,438,,SWC-105-Unprotected Ether Withdrawal,SWC-102-Outdated Compiler Version|SWC-103-Floating Pragma|SWC-105-Unprotected Ether Withdrawal,^0.8.2,0,294,no
AniaStake.sol,contracts/AniaStake.sol,208,,SWC-128-DoS With Block Gas Limit,SWC-102-Outdated Compiler Version|SWC-103-Floating Pragma|SWC-128-DoS With Block Gas Limit,^0.8.2,0,277,no
BSB_StakingSmartStakers.sol,contracts/BSB_StakingSmartStakers.sol,819,,SWC-128-DoS With Block Gas Limit,SWC-128-DoS With Block Gas Limit|SWC-128-DoS With Block Gas Limit,>=0.8.0,0,225,no
BullMasterchef.sol,contracts/BullMasterchef.sol,457,,SWC-128-DoS With Block Gas Limit,SWC-128-DoS With Block Gas Limit,0.8.4,0,117,no
CENNZnetBridge.sol,contracts/CENNZnetBridge.sol,159,,SWC-105-Unprotected Ether Withdrawal,SWC-105-Unprotected Ether Withdrawal,^0.8.0,0,122,no
LatticeStakingPool0x74299A718b2c44483a27325d7725F0B2646DE3B1.sol,contracts/LatticeStakingPool0x74299A718b2c44483a27325d7725F0B2646DE3B1.sol,2097,,SWC-128-DoS With Block Gas Limit,SWC-128-DoS With Block Gas Limit,^0.8.0,0,0,no
FidoMeta.sol,contracts/FidoMeta.sol,1121,,SWC-101-Integer Overflow and Underflow,SWC-103-Floating Pragma|SWC-119-Shadowing State Variables|SWC-135-Code With No Effects|SWC-128-DoS With Block Gas Limit|SWC-135-Code With No Effects|SWC-135-Code With No Effects|SWC-101-Integer Overflow and Underflow|SWC-135-Code With No Effects|SWC-135-Code With No Effects,0.8.11,0,0,no
FidoMeta_1.sol,contracts/FidoMeta_1.sol,1121,,SWC-101-Integer Overflow and Underflow,SWC-103-Floating Pragma|SWC-119-Shadowing State Variables|SWC-135-Code With No Effects|SWC-128-DoS With Block Gas Limit|SWC-135-Code With No Effects|SWC-135-Code With No Effects|SWC-101-Integer Overflow and Underflow|SWC-135-Code With No Effects|SWC-135-Code With No Effects,0.8.11,0,0,no
EpochVotingPowerStrategy.sol,contracts/EpochVotingPowerStrategy.sol,168,,SWC-128-DoS With Block Gas Limit,SWC-126-Insufficient Gas Griefing|SWC-128-DoS With Block Gas Limit,0.7.6,0,205,no
SwapsUser.sol,contracts/SwapsUser.sol,226,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,0.5.17,0,124,yes
ECOPToken.sol,contracts/ECOPToken.sol,315,,SWC-104-Unchecked Call Return Value,SWC-104-Unchecked Call Return Value,>=0.5.0 <0.7.0,0,79,no
SportsIconPrivateVesting.sol,contracts/SportsIconPrivateVesting.sol,82,,SWC-104-Unchecked Call Return Value,SWC-104-Unchecked Call Return Value,^0.7.5,0,92,yes
SNXFlashLoanTool.sol,contracts/SNXFlashLoanTool.sol,147,,SWC-107-Reentrancy,SWC-111-Use of Deprecated Solidity Functions|SWC-111-Use of Deprecated Solidity Functions|SWC-107-Reentrancy,^0.7.6,0,259,no
NoteERC20.sol,contracts/NoteERC20.sol,407,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,^0.7.0,0,127,yes
LPool.sol,contracts/LPool.sol,1025,,SWC-107-Reentrancy,SWC-107-Reentrancy,0.7.6,0,0,no
LimitOrderProtocol.sol,contracts/LimitOrderProtocol.sol,462,,SWC-107-Reentrancy,SWC-107-Reentrancy|SWC-128-DoS With Block Gas Limit,^0.7.6,0,312,yes
