file,path,line,cyclomatic_complexity,function_count,come,vul,vultype,version,gpt_response_valid,is_fixed,is_correctly_fixed,is_fixed_info,未能成功修复原因
0x0588383636469cb1509d146de7eaa96768906a83,/home/hjh/Desktop/test/sguardplus/sum/0x0588383636469cb1509d146de7eaa96768906a83.sol,199,19,19,rlrep,49,access_control,^0.4.11,TRUE,TRUE,TRUE,,
0x05d7c87cf85de4103635ec585b1e36cf240837b4,/home/hjh/Desktop/test/sguardplus/sum/0x05d7c87cf85de4103635ec585b1e36cf240837b4.sol,199,19,19,rlrep,18,Arithmetic,^0.4.25,FALSE,TRUE,FALSE,,
0x05f6a05e0c8a8999510acc3a954340cc233a3caa,/home/hjh/Desktop/test/sguardplus/sum/0x05f6a05e0c8a8999510acc3a954340cc233a3caa.sol,199,19,19,rlrep,49,access_control,^0.4.11,TRUE,TRUE,TRUE,,
0x05f8b281410c9327a1bbf508db380fd967c31df6,/home/hjh/Desktop/test/sguardplus/sum/0x05f8b281410c9327a1bbf508db380fd967c31df6.sol,399,39,39,smartfix,258,access_control,^0.4.16,TRUE,TRUE,TRUE,,
0x06f2fb2ce2cf9b996c68fc8d39372a275d43c37c,/home/hjh/Desktop/test/sguardplus/sum/0x06f2fb2ce2cf9b996c68fc8d39372a275d43c37c.sol,199,19,19,rlrep,49,access_control,^0.4.11,TRUE,TRUE,TRUE,,
0x06faa4d8157ba45baf2da5e7d02384225948d54f,/home/hjh/Desktop/test/sguardplus/sum/0x06faa4d8157ba45baf2da5e7d02384225948d54f.sol,199,19,19,rlrep,12,Arithmetic,^0.4.24,FALSE,TRUE,FALSE,,
0x06faa4d8157ba45baf2da5e7d02384225948d54f,/home/hjh/Desktop/test/sguardplus/sum/0x06faa4d8157ba45baf2da5e7d02384225948d54f.sol,199,19,19,rlrep,13,unchecked_low_level_calls,^0.4.24,TRUE,TRUE,TRUE,,
0x07419940b9a2d1eb54e123bd4853240ffac77186,/home/hjh/Desktop/test/sguardplus/sum/0x07419940b9a2d1eb54e123bd4853240ffac77186.sol,399,39,39,smartfix,50,access_control,^0.4.18,TRUE,FALSE,TRUE,"./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:39:5: Warning: Defining constructors as functions with the same name as the contract is deprecated. Use ""constructor(...) { ... }"" instead.
    function PowhCoin4() public {
    ^ (Relevant source part starts here and spans across multiple lines).
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:48:5: Warning: Use of the ""var"" keyword is deprecated.
    var balance = dividends(msg.sender);
    ^---------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:56:9: Warning: Use of the ""var"" keyword is deprecated.
        var balance = balanceOf(msg.sender);
        ^---------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:102:9: Warning: Use of the ""var"" keyword is deprecated.
        var _allowance = allowance[_from][msg.sender];
        ^------------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:124:9: Warning: Use of the ""var"" keyword is deprecated.
        var balance = dividends(msg.sender);
        ^---------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:141:9: Warning: Use of the ""var"" keyword is deprecated.
        var sender = msg.sender;
        ^--------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:143:9: Warning: Use of the ""var"" keyword is deprecated.
        var fee = (uint)(msg.value / 10);
        ^-----^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:146:9: Warning: Use of the ""var"" keyword is deprecated.
        var numEther = msg.value - fee;
        ^----------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:147:9: Warning: Use of the ""var"" keyword is deprecated.
        var numTokens = getTokensForEther(numEther);
        ^-----------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:149:9: Warning: Use of the ""var"" keyword is deprecated.
        var buyerfee = fee * PRECISION;
        ^----------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:153:13: Warning: Use of the ""var"" keyword is deprecated.
            var holderreward =
            ^--------------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:156:13: Warning: Use of the ""var"" keyword is deprecated.
            var holderfee = fee * holderreward;
            ^-----------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:160:13: Warning: Use of the ""var"" keyword is deprecated.
            var feePerShare = holderfee / totalSupply;
            ^-------------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:169:9: Warning: Use of the ""var"" keyword is deprecated.
        var payoutDiff = (int256) ((earningsPerShare * numTokens) - buyerfee);
        ^------------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:175:9: Warning: Use of the ""var"" keyword is deprecated.
        var numEthers = getEtherForTokens(amount);
        ^-----------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:181:9: Warning: Use of the ""var"" keyword is deprecated.
        var payoutDiff = (int256) (earningsPerShare * amount + (numEthers * PRECISION));
        ^------------^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:222:9: Warning: Use of the ""var"" keyword is deprecated.
        var z = (s*s) / one;
        ^---^
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:9:1: Warning: Source file does not specify required compiler version!Consider adding ""pragma solidity ^0.4.26;""
contract PowhCoin4 {
^ (Relevant source part starts here and spans across multiple lines).
./smartcontract/single_fixed_contracts\0x07419940b9a2d1eb54e123bd4853240ffac77186(50).sol:47:27: Error: Undeclared identifier. Did you mean ""one""?
    require(msg.sender == owner); // Ensure only owner can withdraw
                          ^---^
",未定义的变量或标识符等
0x079a09fda4ecd57f76a739152e88a8267a86c240,/home/hjh/Desktop/test/sguardplus/sum/0x079a09fda4ecd57f76a739152e88a8267a86c240.sol,399,79,59,rlrep,217,access_control,^0.4.25,TRUE,TRUE,TRUE,,
0x07b40ec7110b6baab2f1e916bd1d61ae8ef203a7,/home/hjh/Desktop/test/sguardplus/sum/0x07b40ec7110b6baab2f1e916bd1d61ae8ef203a7.sol,199,19,19,rlrep,19,access_control,^0.4.17,TRUE,TRUE,TRUE,,
0x083279e98e3b796ad1a25a103cb8b98f2929ca4c,/home/hjh/Desktop/test/sguardplus/sum/0x083279e98e3b796ad1a25a103cb8b98f2929ca4c.sol,199,39,19,rlrep,50,access_control,^0.4.24,TRUE,TRUE,TRUE,,
0x08a2246dcb48db6a5a9e1f6bc082752fceddd106,/home/hjh/Desktop/test/sguardplus/sum/0x08a2246dcb48db6a5a9e1f6bc082752fceddd106.sol,199,19,19,rlrep,32,access_control,^0.4.21,TRUE,TRUE,TRUE,,
0x0948d85e3ed03ae537eed0cd2398f2338082a8e7,/home/hjh/Desktop/test/sguardplus/sum/0x0948d85e3ed03ae537eed0cd2398f2338082a8e7.sol,599,79,39,rlrep,520,access_control,^0.4.18,TRUE,TRUE,TRUE,,
0x09e780855f195fcbb0b403a6676a4b34467ae510,/home/hjh/Desktop/test/sguardplus/sum/0x09e780855f195fcbb0b403a6676a4b34467ae510.sol,599,81,79,rlrep,475,access_control,^0.4.25,TRUE,TRUE,TRUE,,
0x09f5f9413cefd61044db02940540155507bdcc55,/home/hjh/Desktop/test/sguardplus/sum/0x09f5f9413cefd61044db02940540155507bdcc55.sol,199,19,19,rlrep,64,unchecked_low_level_calls,^0.4.24,FALSE(脚本原因导致),TRUE,TRUE,,
0x0a630de26e5b41eaef08741e74da4018a6c2e14c,/home/hjh/Desktop/test/sguardplus/sum/0x0a630de26e5b41eaef08741e74da4018a6c2e14c.sol,199,19,19,rlrep,28,unchecked_low_level_calls,^0.4.11,TRUE,TRUE,TRUE,,
0x0ad7e0259b7e80c13074d2e08790d3c263d13d81,/home/hjh/Desktop/test/sguardplus/sum/0x0ad7e0259b7e80c13074d2e08790d3c263d13d81.sol,799,19,19,smartfix,43,Reentrancy,0.6.12,TRUE,TRUE,TRUE,,
0x0adcae90088fae1007555733b4d3d63f24f4a2a3,/home/hjh/Desktop/test/sguardplus/sum/0x0adcae90088fae1007555733b4d3d63f24f4a2a3.sol,199,19,19,rlrep,20,Arithmetic,^0.4.11,TRUE,TRUE,TRUE,,
0x0b6f6e073a08ab8fd458527c47ed83982ff26851,/home/hjh/Desktop/test/sguardplus/sum/0x0b6f6e073a08ab8fd458527c47ed83982ff26851.sol,199,19,19,rlrep,27,unchecked_low_level_calls,^0.4.11,TRUE,FALSE,TRUE,"./smartcontract/single_fixed_contracts\0x0b6f6e073a08ab8fd458527c47ed83982ff26851(27).sol:27:9: Error: Expected primary expression.
        payable(owner).transfer(address(this).balance);
        ^-----^
",不支持的语法特性
0x0b71bee14c6fb53ac5d452e429d57f5020106d3e,/home/hjh/Desktop/test/sguardplus/sum/0x0b71bee14c6fb53ac5d452e429d57f5020106d3e.sol,599,79,39,rlrep,205,access_control,^0.4.24,FALSE（GPT返回错误）,FALSE,,"./smartcontract/single_fixed_contracts\0x0b71bee14c6fb53ac5d452e429d57f5020106d3e(205).sol:205:38: Error: Invalid type for argument in function call. Invalid implicit conversion from int256 to uint256 requested.
    registeredPlayers = SafeMath.add(registeredPlayers, 1); 
                                     ^---------------^
./smartcontract/single_fixed_contracts\0x0b71bee14c6fb53ac5d452e429d57f5020106d3e(205).sol:205:25: Error: Type uint256 is not implicitly convertible to expected type int256.
    registeredPlayers = SafeMath.add(registeredPlayers, 1); 
                        ^--------------------------------^
",未引入的safemath库
0x0c5876bc9765ee15fc3378100c070453186db8f3,/home/hjh/Desktop/test/sguardplus/sum/0x0c5876bc9765ee15fc3378100c070453186db8f3.sol,199,19,19,rlrep,50,Arithmetic,^0.4.16,FALSE（GPT返回错误）,TRUE,FALSE,,
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,/home/hjh/Desktop/test/sguardplus/sum/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,199,19,19,SmartBugs,12,unchecked_low_level_calls,^0.4.10,TRUE,TRUE,TRUE,,
0x0cbe2df57ca9191b64a7af3baa3f946fa7df2f25,/home/hjh/Desktop/test/sguardplus/sum/0x0cbe2df57ca9191b64a7af3baa3f946fa7df2f25.sol,801,81,81,rlrep,402,unchecked_low_level_calls,^0.4.24,FALSE（但是是个内联函数）,FALSE,FALSE,,未定义的变量
0x0ce7f6686ece8186206e76fc7b76010189523c3b,/home/hjh/Desktop/test/sguardplus/sum/0x0ce7f6686ece8186206e76fc7b76010189523c3b.sol,199,19,19,rlrep,86,DoS,>=0.5.0,TRUE,TRUE,TRUE,,
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221,/home/hjh/Desktop/test/sguardplus/sum/0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221.sol,199,19,19,smartfix,64,unchecked_low_level_calls,>=0.4.22 <0.7.0,TRUE,FALSE,TRUE,"./smartcontract/single_fixed_contracts\0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221(64).sol:62:36: Error: Expected ',' but got 'payable'
    function withdrawFunds(address payable receiver, uint256 withdrawAmount) external onlyOwner {
                                   ^-----^
",不支持的语法特性
0x0d47d4aea9da60953fd4ae5c47d2165977c7fbea,/home/hjh/Desktop/test/sguardplus/sum/0x0d47d4aea9da60953fd4ae5c47d2165977c7fbea.sol,199,39,19,rlrep,31,unchecked_low_level_calls,^0.4.11,TRUE,TRUE,TRUE,,
0x0d5d4c289133ebf3eb685c183a930c1ee2ea4a4f,/home/hjh/Desktop/test/sguardplus/sum/0x0d5d4c289133ebf3eb685c183a930c1ee2ea4a4f.sol,199,19,19,rlrep,12,Reentrancy,^0.4.25,TRUE,TRUE,TRUE,,
0x0edf34a446966eda43bc71ca4627ed5847914025,/home/hjh/Desktop/test/sguardplus/sum/0x0edf34a446966eda43bc71ca4627ed5847914025.sol,399,19,19,smartfix,159,access_control,^0.7.0,FALSE(脚本原因导致),TRUE,TRUE,,
0x0f44ef14948994d9cae6a745bd46bf3122e60ac1,/home/hjh/Desktop/test/sguardplus/sum/0x0f44ef14948994d9cae6a745bd46bf3122e60ac1.sol,199,39,19,rlrep,88,unchecked_low_level_calls,0.5.8,TRUE,TRUE,TRUE,,
0x0f70108ada7de723bc7c111654bdd9a11bfef736,/home/hjh/Desktop/test/sguardplus/sum/0x0f70108ada7de723bc7c111654bdd9a11bfef736.sol,199,19,19,rlrep,15,unchecked_low_level_calls,^0.4.25,TRUE,FALSE,TRUE,"./smartcontract/single_fixed_contracts\0x0f70108ada7de723bc7c111654bdd9a11bfef736(15).sol:5:5: Warning: Defining constructors as functions with the same name as the contract is deprecated. Use ""constructor(...) { ... }"" instead.
    function theRelayer(address _target) public {
    ^ (Relevant source part starts here and spans across multiple lines).
./smartcontract/single_fixed_contracts\0x0f70108ada7de723bc7c111654bdd9a11bfef736(15).sol:17:25: Error: Type bool is not implicitly convertible to expected type tuple(bool,bytes memory).
    (success, result) = target.call.gas(gasToForward).value(msg.value)(msg.data);
                        ^------------------------------------------------------^
",错误的类型转换
0x0f7466e713b582630504dd39a72f6e15d2d052a9,/home/hjh/Desktop/test/sguardplus/sum/0x0f7466e713b582630504dd39a72f6e15d2d052a9.sol,199,19,19,rlrep,21,Arithmetic,^0.4.25,TRUE,TRUE,FALSE（GPT返回不变）,,
0x0f7524d64ceb92dae1d1a56b20b6d520134795d4,/home/hjh/Desktop/test/sguardplus/sum/0x0f7524d64ceb92dae1d1a56b20b6d520134795d4.sol,399,39,39,smartfix,56,access_control,^0.4.18,TRUE,TRUE,FALSE（漏洞类型错误？应该是重入？）,,
0x0f7d5e9db2525b34682f474534b039016032ab17,/home/hjh/Desktop/test/sguardplus/sum/0x0f7d5e9db2525b34682f474534b039016032ab17.sol,599,81,59,rlrep,355,unchecked_low_level_calls,^0.4.24,TRUE,TRUE,TRUE,,
0x10743f648d90f168bd54136bf3e430225713a61d,/home/hjh/Desktop/test/sguardplus/sum/0x10743f648d90f168bd54136bf3e430225713a61d.sol,199,19,19,rlrep,5,unchecked_low_level_calls,^0.4.23,TRUE,FALSE,TRUE,"./smartcontract/single_fixed_contracts\0x10743f648d90f168bd54136bf3e430225713a61d(5).sol:5:13: Error: Expected ';' but got 'payable'
    address payable wallet = payable(address(this));
            ^-----^
",不支持的语法特性
0x109d8d46f00528fd043d13984026d8a3f811dd26,/home/hjh/Desktop/test/sguardplus/sum/0x109d8d46f00528fd043d13984026d8a3f811dd26.sol,199,19,19,rlrep,20,unchecked_low_level_calls,^0.4.25,TRUE,TRUE,TRUE,,
0x10a451d62530e73adfd14f17e2340dd01c56923f,/home/hjh/Desktop/test/sguardplus/sum/0x10a451d62530e73adfd14f17e2340dd01c56923f.sol,599,81,81,rlrep,358,access_control,0.4.25,FALSE(脚本原因导致),TRUE,FALSE,,
0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a,/home/hjh/Desktop/test/sguardplus/sum/0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a.sol,199,59,39,rlrep,16,access_control,^0.4.18,TRUE,FALSE,TRUE,"./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:12:5: Warning: Defining constructors as functions with the same name as the contract is deprecated. Use ""constructor(...) { ... }"" instead.
    function OwnableImpl() public {
    ^ (Relevant source part starts here and spans across multiple lines).
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:190:2: Warning: Defining constructors as functions with the same name as the contract is deprecated. Use ""constructor(...) { ... }"" instead.
	function TokenHolder(address _token) {
 ^ (Relevant source part starts here and spans across multiple lines).
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:15:5: Error: Overriding function changes state mutability from ""nonpayable"" to ""view"".
    function checkOwner() internal view {
    ^ (Relevant source part starts here and spans across multiple lines).
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:7:5: Overriden function is here:
    function checkOwner() internal;
    ^-----------------------------^

./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:20:9: Warning: Invoking events without ""emit"" prefix is deprecated.
        OwnershipTransferred(owner, newOwner);
        ^-----------------------------------^
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:80:5: Warning: Invoking events without ""emit"" prefix is deprecated.
    Transfer(_from, _to, _value);
    ^--------------------------^
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:94:5: Warning: Invoking events without ""emit"" prefix is deprecated.
    Approval(msg.sender, _spender, _value);
    ^------------------------------------^
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:99:5: Warning: Invoking events without ""emit"" prefix is deprecated.
    Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
    ^-----------------------------------------------------------^
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:109:5: Warning: Invoking events without ""emit"" prefix is deprecated.
    Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
    ^-----------------------------------------------------------^
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:123:3: Warning: Invoking events without ""emit"" prefix is deprecated.
		Burn(burner, _value);
		^------------------^
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:139:9: Warning: Invoking events without ""emit"" prefix is deprecated.
        Mint(_to, _value);
        ^---------------^
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:156:9: Warning: Invoking events without ""emit"" prefix is deprecated.
        Pause();
        ^-----^
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:160:9: Warning: Invoking events without ""emit"" prefix is deprecated.
        Unpause();
        ^-------^
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:15:5: Error: Overriding function changes state mutability from ""nonpayable"" to ""view"".
    function checkOwner() internal view {
    ^ (Relevant source part starts here and spans across multiple lines).
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:7:5: Overriden function is here:
    function checkOwner() internal;
    ^-----------------------------^

./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:15:5: Error: Overriding function changes state mutability from ""nonpayable"" to ""view"".
    function checkOwner() internal view {
    ^ (Relevant source part starts here and spans across multiple lines).
./smartcontract/single_fixed_contracts\0x10dabd1629502e1a3bd3ef9a4ddbff2c9ba0d15a(16).sol:7:5: Overriden function is here:
    function checkOwner() internal;
    ^-----------------------------^

",**状态修饰符不一致**：这个错误是因为 `Ownable` 合约中的 `checkOwner` 函数没有指定 `view` 状态修饰符，而在子合约 `OwnableImpl` 中重写 `checkOwner` 时加上了 `view` 修饰符。根据 Solidity 的规则，子合约中的重写函数必须与父合约中的状态修饰符一致，否则会导致编译错误。
0x10daf24129aea895adf1814b9abefd66f0d3abe5,/home/hjh/Desktop/test/sguardplus/sum/0x10daf24129aea895adf1814b9abefd66f0d3abe5.sol,199,19,19,rlrep,49,access_control,^0.4.11,TRUE,TRUE,TRUE,,
0x132b29266cba8335fe0d929088a8a97d707a98e8,/home/hjh/Desktop/test/sguardplus/sum/0x132b29266cba8335fe0d929088a8a97d707a98e8.sol,199,19,19,rlrep,28,Arithmetic,^0.4.16,TRUE,TRUE,TRUE,,
0x137fdd00e9a866631d8daf1a2116fb8df1ed07a7,/home/hjh/Desktop/test/sguardplus/sum/0x137fdd00e9a866631d8daf1a2116fb8df1ed07a7.sol,199,39,39,rlrep,134,unchecked_low_level_calls,^0.4.25,TRUE,TRUE,TRUE,,
0x1385862650b5ce0523c44f3e6ee961b8c49d4b5f,/home/hjh/Desktop/test/sguardplus/sum/0x1385862650b5ce0523c44f3e6ee961b8c49d4b5f.sol,199,19,19,rlrep,16,Arithmetic,"^0.4.25	",TRUE,TRUE,TRUE,,
0x13bf9d3fd9bdffd4904da96cef862ae5215945f0,/home/hjh/Desktop/test/sguardplus/sum/0x13bf9d3fd9bdffd4904da96cef862ae5215945f0.sol,199,19,19,rlrep,5,unchecked_low_level_calls,^0.4.23,TRUE,TRUE,TRUE,,
0x144becd85df89460579823fb7b0dfd763105102f,/home/hjh/Desktop/test/sguardplus/sum/0x144becd85df89460579823fb7b0dfd763105102f.sol,199,19,19,rlrep,45,unchecked_low_level_calls,^0.4.24,TRUE,TRUE,TRUE,,
0x14aa7e4c75979fa9eed5365190727b28232adc7a,/home/hjh/Desktop/test/sguardplus/sum/0x14aa7e4c75979fa9eed5365190727b28232adc7a.sol,199,19,19,rlrep,100,access_control,^0.4.16,TRUE,TRUE,TRUE,,
0x150dbfc384ba5c13c304efd2efee73cc57cc2c16,/home/hjh/Desktop/test/sguardplus/sum/0x150dbfc384ba5c13c304efd2efee73cc57cc2c16.sol,399,79,39,rlrep,129,access_control,0.4.25,TRUE,TRUE,TRUE,,
0x15d0e6cedd8ecc39daa60c63a3a5830eeca7d720,/home/hjh/Desktop/test/sguardplus/sum/0x15d0e6cedd8ecc39daa60c63a3a5830eeca7d720.sol,199,19,19,rlrep,6,access_control,^0.4.19,TRUE,TRUE,TRUE,,
