file,path,line,come,vul,vultype,version,fix_time,token_usage,detect
WorthTokenSale.sol,contracts/WorthTokenSale.sol,311,,279 - 282,SWC-105-Unprotected Ether Withdrawal,0.8.10,0,89,yes
VaultManager_1.sol,contracts/VaultManager_1.sol,925,,692,SWC-104-Unchecked Call Return Value,0.8.12,0,0,no
Comptroller.sol,contracts/Comptroller.sol,1358,,465-501,SWC-107-Reentrancy,^0.8.6,0,0,no
CToken.sol,contracts/CToken.sol,1201,,930-947,SWC-107-Reentrancy,^0.8.6,0,0,no
MultiplyProxyActions.sol,contracts/MultiplyProxyActions.sol,816,,119|172,SWC-101-Integer Overflow and Underflow,>=0.7.6,0,161,yes
ReferralFeeReceiver.sol,contracts/ReferralFeeReceiver.sol,211,,11,SWC-107-Reentrancy,^0.6.0,0,110,yes
yield.sol,contracts/yield.sol,676,,2|532 - 541|640 - 644,SWC-128-DoS With Block Gas Limit,^0.5.12,0,277,yes
FountainBase.sol,contracts/FountainBase.sol,351,,290-291|295-308,SWC-107-Reentrancy,0.6.12,0,244,yes
YieldFarm.sol,contracts/YieldFarm.sol,173,,3|76,SWC-128-DoS With Block Gas Limit,^0.6.0,0,260,yes
CommunityVault.sol,contracts/CommunityVault.sol,23,,2|19,SWC-107-Reentrancy,^0.6.0,0,179,no
YieldFarm_1.sol,contracts/YieldFarm_1.sol,173,,3|73 - 77,SWC-128-DoS With Block Gas Limit,^0.6.0,0,262,no
YieldFarm_2.sol,contracts/YieldFarm_2.sol,173,,3|73 - 77,SWC-128-DoS With Block Gas Limit,^0.6.0,0,182,no
YieldFarmLP.sol,contracts/YieldFarmLP.sol,160,,3|62 - 66,SWC-128-DoS With Block Gas Limit,^0.6.0,0,226,no
wHakka.sol,contracts/wHakka.sol,601,,509|556 - 573|576 - 592|580,SWC-107-Reentrancy,0.5.17,0,246,yes
MasterChef.sol,contracts/MasterChef.sol,390,,105 - 127|131 - 143|227 - 266|247 - 251|272 - 306|310 - 329|333 - 340|378 - 381|384 - 389,SWC-107-Reentrancy,0.6.7,0,568,no
strategy-base.sol,contracts/strategy-base.sol,363,,237 - 268|271 - 288|291 - 322|325 - 342,SWC-104-Unchecked Call Return Value,^0.6.7,0,296,yes
strategy-basis-farm-base.sol,contracts/strategy-basis-farm-base.sol,153,,78 - 152,SWC-104-Unchecked Call Return Value,^0.6.7,0,137,no
SpaceMonkey.sol,contracts/SpaceMonkey.sol,686,,53 - 64|67|194,SWC-107-Reentrancy,^0.8.4,0,284,yes
AllocationStaking.sol,contracts/AllocationStaking.sol,577,,129-134|207-214|472-475,SWC-101-Integer Overflow and Underflow,0.6.12,0,320,yes
Admin.sol,contracts/Admin.sol,79,,43-68,SWC-113-DoS with Failed Call,0.6.12,0,129,yes
AvalaunchSale.sol,contracts/AvalaunchSale.sol,588,,294|346,SWC-113-DoS with Failed Call,0.6.12,0,173,yes
Ark.sol,contracts/Ark.sol,87,,3|55,SWC-113-DoS with Failed Call,0.6.9,0,231,no
Vesting.sol,contracts/Vesting.sol,213,,139-199|172-180,SWC-101-Integer Overflow and Underflow,0.8.10,0,334,yes
Gate.sol,contracts/Gate.sol,250,,175-190,SWC-113-DoS with Failed Call,0.5.11,0,128,yes
woonklyPOS.sol,contracts/woonklyPOS.sol,1017,,743 - 769|874 - 886,SWC-107-Reentrancy,^0.6.6,0,253,no
vault.sol,contracts/vault.sol,699,,409|513 - 548|513 - 548,SWC-101-Integer Overflow and Underflow,0.6.6,0,328,yes
BorrowerOperations.sol,contracts/BorrowerOperations.sol,666,,321 - 351,SWC-105-Unprotected Ether Withdrawal,0.6.11,0,112,yes
TempusController.sol,contracts/TempusController.sol,520,,352-386|395-436,SWC-107-Reentrancy,0.8.6,0,274,yes
MetaTransactionsFeature.sol,contracts/MetaTransactionsFeature.sol,552,,100-107,SWC-107-Reentrancy,^0.6.5,0,134,yes
UniswapFeature.sol,contracts/UniswapFeature.sol,472,,203-206,SWC-107-Reentrancy,^0.6.5,0,143,yes
LibFixedMath.sol,contracts/LibFixedMath.sol,378,,361-378,SWC-101-Integer Overflow and Underflow,^0.5.9,0,95,yes
Mooniswap.sol,contracts/Mooniswap.sol,341,,331-341,SWC-105-Unprotected Ether Withdrawal,^0.6.0,0,146,no
ReferralFeeReceiver_1.sol,contracts/ReferralFeeReceiver_1.sol,211,,38-50,SWC-105-Unprotected Ether Withdrawal,^0.6.0,0,105,no
LendingPool.sol,contracts/LendingPool.sol,1033,,92-119|579,SWC-107-Reentrancy,^0.6.8,0,0,no
JoinSplit.sol,contracts/JoinSplit.sol,397,,75-78,SWC-101-Integer Overflow and Underflow,>=0.5.0 <0.6.0,0,109,yes
BNum.sol,contracts/BNum.sol,164,,68-69,SWC-101-Integer Overflow and Underflow,0.5.12,0,141,yes
StandardBounties.sol,contracts/StandardBounties.sol,725,,2-725|3|48-49|246-265|249,SWC-101-Integer Overflow and Underflow,0.5.0,0,333,yes
Accounts.sol,contracts/Accounts.sol,515,,387,SWC-128-DoS With Block Gas Limit,0.5.14,0,130,yes
CompHelper.sol,contracts/CompHelper.sol,39,,27-138,SWC-104-Unchecked Call Return Value,^0.7.0,0,203,yes
FLAaveV2.sol,contracts/FLAaveV2.sol,154,,106-137,SWC-107-Reentrancy,^0.7.0,0,127,yes
ZeroxWrapper.sol,contracts/ZeroxWrapper.sol,60,,42-50,SWC-101-Integer Overflow and Underflow,^0.7.0,0,91,yes
KyberWrapperV3.sol,contracts/KyberWrapperV3.sol,144,,101-109,SWC-101-Integer Overflow and Underflow,^0.7.0,0,100,yes
ETHRegistrarController.sol,contracts/ETHRegistrarController.sol,103,,46-49|56-65,SWC-104-Unchecked Call Return Value,^0.5.0,0,239,yes
SimplePriceOracle.sol,contracts/SimplePriceOracle.sol,30,,27-29,SWC-101-Integer Overflow and Underflow,^0.5.0,0,197,yes
StablePriceOracle.sol,contracts/StablePriceOracle.sol,73,,58-64,SWC-101-Integer Overflow and Underflow,^0.5.0,0,170,yes
xTRIBE.sol,contracts/xTRIBE.sol,141,,90-100,SWC-105-Unprotected Ether Withdrawal,^0.8.0,0,103,no
CollateralizationOracle.sol,contracts/CollateralizationOracle.sol,341,,323|327,SWC-101-Integer Overflow and Underflow,^0.8.4,0,188,yes
BalancerLBPSwapper.sol,contracts/BalancerLBPSwapper.sol,365,,108-118|174-258,SWC-105-Unprotected Ether Withdrawal,^0.8.0,0,216,yes
Hypervisor.sol,contracts/Hypervisor.sol,587,,81-142|175-216|415,SWC-107-Reentrancy,0.7.6,0,273,yes
IdleCDO.sol,contracts/IdleCDO.sol,757,,242-258,SWC-107-Reentrancy,0.8.4,0,0,no
AMM.sol,contracts/AMM.sol,782,,17|500-502,SWC-104-Unchecked Call Return Value,^0.5.2,0,0,yes
ChainlinkAdapter.sol,contracts/ChainlinkAdapter.sol,21,,18,SWC-101-Integer Overflow and Underflow,^0.5.2,0,413,yes
Perpetual.sol,contracts/Perpetual.sol,317,,4-5|34-41|270-289,SWC-105-Unprotected Ether Withdrawal,^0.5.2,0,198,yes
Pod.sol,contracts/Pod.sol,669,,275-282|279,SWC-107-Reentrancy,>=0.7.0 <0.8.0,0,232,yes
TokenDrop.sol,contracts/TokenDrop.sol,236,,82-88|141-155,SWC-107-Reentrancy,>=0.7.0 <0.8.0,0,153,no
LiquidStakingV2.sol,contracts/LiquidStakingV2.sol,499,,370-404,SWC-128-DoS With Block Gas Limit,>=0.7.0,0,155,yes
STokensV2.sol,contracts/STokensV2.sol,621,,125-140,SWC-128-DoS With Block Gas Limit,>=0.7.0,0,153,yes
ReversibleICO.sol,contracts/ReversibleICO.sol,1170,,230-299|948,SWC-113-DoS with Failed Call,^0.5.0,0,0,no
RocketDepositPool.sol,contracts/RocketDepositPool.sol,147,,116-129,SWC-128-DoS With Block Gas Limit,0.7.6,0,291,yes
RocketNodeStaking.sol,contracts/RocketNodeStaking.sol,203,,150|166,SWC-104-Unchecked Call Return Value,0.7.6,0,198,yes
DelegationRequestManager.sol,contracts/DelegationRequestManager.sol,128,,74-76,SWC-101-Integer Overflow and Underflow,^0.5.3,0,221,yes
DelegationService.sol,contracts/DelegationService.sol,318,,152-158|310-316,SWC-128-DoS With Block Gas Limit,^0.5.3,0,234,yes
SkaleBalances.sol,contracts/SkaleBalances.sol,91,,55-68,SWC-107-Reentrancy,^0.5.3,0,101,yes
TokenState.sol,contracts/TokenState.sol,281,,65|259-265,SWC-128-DoS With Block Gas Limit,^0.5.3,0,230,yes
LockableERC777.sol,contracts/LockableERC777.sol,517,,399-422,SWC-107-Reentrancy,^0.5.3,0,113,yes
EternalHeroesFactory.sol,contracts/EternalHeroesFactory.sol,420,,279-285,SWC-107-Reentrancy,^0.5.16,0,218,no
KeepRandomBeaconOperator.sol,contracts/KeepRandomBeaconOperator.sol,757,,452-494,SWC-120-Weak Sources of Randomness from Chain Attributes,^0.5.4,0,130,yes
Moloch.sol,contracts/Moloch.sol,682,,266-305|408-413|638-640,SWC-101-Integer Overflow and Underflow,0.5.3,0,265,yes
StakingController.sol,contracts/StakingController.sol,185,,92-101|121-153|135,SWC-105-Unprotected Ether Withdrawal,^0.7.3,0,287,yes
AOC_BEP.sol,contracts/AOC_BEP.sol,492,,115 - 126|362|362,SWC-105-Unprotected Ether Withdrawal,0.8.9,0,256,no
AniaLottery.sol,contracts/AniaLottery.sol,438,,4|4|119 - 121,SWC-105-Unprotected Ether Withdrawal,^0.8.2,0,294,no
AniaStake.sol,contracts/AniaStake.sol,208,,4|4|185 - 194,SWC-128-DoS With Block Gas Limit,^0.8.2,0,277,no
BSB_StakingSmartStakers.sol,contracts/BSB_StakingSmartStakers.sol,819,,393 - 401|416 - 418,SWC-128-DoS With Block Gas Limit,>=0.8.0,0,225,no
BullMasterchef.sol,contracts/BullMasterchef.sol,457,,196-201,SWC-128-DoS With Block Gas Limit,0.8.4,0,117,no
CENNZnetBridge.sol,contracts/CENNZnetBridge.sol,159,,99-120,SWC-105-Unprotected Ether Withdrawal,^0.8.0,0,122,no
LatticeStakingPool0x74299A718b2c44483a27325d7725F0B2646DE3B1.sol,contracts/LatticeStakingPool0x74299A718b2c44483a27325d7725F0B2646DE3B1.sol,2097,,1795,SWC-128-DoS With Block Gas Limit,^0.8.0,0,0,no
FidoMeta.sol,contracts/FidoMeta.sol,1121,,2|512 - 521|555 - 587|775 - 782|788 - 832|978 - 980|1009-1010|1043 - 1046|1060 - 1070,SWC-101-Integer Overflow and Underflow,0.8.11,0,0,yes
FidoMeta_1.sol,contracts/FidoMeta_1.sol,1121,,2|513 - 515|555 - 587|775 - 782|789 - 832|978 - 980|1009 - 1010|1047 - 1050|1062 - 1071,SWC-101-Integer Overflow and Underflow,0.8.11,0,0,yes
EpochVotingPowerStrategy.sol,contracts/EpochVotingPowerStrategy.sol,168,,66-79|100-112,SWC-128-DoS With Block Gas Limit,0.7.6,0,205,no
SwapsUser.sol,contracts/SwapsUser.sol,226,,156-178,SWC-101-Integer Overflow and Underflow,0.5.17,0,124,yes
ECOPToken.sol,contracts/ECOPToken.sol,315,,196 - 210,SWC-104-Unchecked Call Return Value,>=0.5.0 <0.7.0,0,79,no
SportsIconPrivateVesting.sol,contracts/SportsIconPrivateVesting.sol,82,,60,SWC-104-Unchecked Call Return Value,^0.7.5,0,92,yes
SNXFlashLoanTool.sol,contracts/SNXFlashLoanTool.sol,147,,54|122|143,SWC-107-Reentrancy,^0.7.6,0,259,no
NoteERC20.sol,contracts/NoteERC20.sol,407,,135,SWC-101-Integer Overflow and Underflow,^0.7.0,0,127,yes
LPool.sol,contracts/LPool.sol,1025,,845-885,SWC-107-Reentrancy,0.7.6,0,0,no
LimitOrderProtocol.sol,contracts/LimitOrderProtocol.sol,462,,28 - 346|339,SWC-107-Reentrancy,^0.7.6,0,312,yes
